no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
596,3101604,환경부,예산군(은사교),Yesan-gun(Eunsagyo),삽교천,무한천,충청남도 예산군 광시면 용두리 은사교,126.778611,36.560556
597,3101613,환경부,예산군(서계양교),Yesan-gun(Seogyeyanggyo),삽교천,신양천,충청남도 예산군 신양면 녹문리 서계양교,126.86,36.606389
598,3101625,환경부,예산군(예산대교),Yesan-gun(Yesandaegyo),삽교천,무한천,충청남도 예산군 예산읍 산성리 예산대교,126.820833,36.684167
599,3101630,환경부,예산군(신례원교),Yesan-gun(Sillyewongyo),삽교천,무한천,충청남도 예산군 신암면 종경리 신례원교,126.83,36.733056
600,3101635,환경부,홍성군(삽교천교),Hongseong-gun(Sapgyocheongyo),삽교천,삽교천,충청남도 홍성군 홍성읍 구룡리 삽교천교,126.685556,36.5925
,,,,,,,(충청남도 ?,,
601,3101638,환경부,예산군(신리교),Yesan-gun(Silligyo),삽교천,덕산천,충청남도 예산군 삽교읍 신리 신리교,126.670833,36.688056
602,3101640,환경부,예산군(충의대교),Yesan-gun(Chunguidaegyo),삽교천,삽교천,충청남도 예산군 삽교읍 두리 충의대교,126.730556,36.686667
603,3101645,환경부,예산군(구만교),Yesan-gun(Gumangyo),삽교천,삽교천,충청남도 예산군 고덕면 구만리 구만교,126.754444,36.736111
,,,,,,,(충청남도 예?,,
604,3101650,환경부,당진시(구양교),Dangjin-si(Guyanggyo),삽교천,삽교천,충청남도 당진시 합덕읍 옥금리 구양교,126.815,36.774167
,,,,,,,(충청남도 예,,
605,3101655,환경부,천안시(신흥교),Cheonan-si(Sinheunggyo),삽교천,풍서천,충청남도 천안시 동남구 광덕면 매당리 신흥교,127.113889,36.702778
606,3101660,환경부,천안시(가송교),Cheonan-si(Gasonggyo),삽교천,곡교천,충청남도 천안시 풍세면 가송리 가송교,127.143611,36.735
607,3101670,환경부,아산시(휴대교),Asan-si(Hyudaegyo),삽교천,천안천,충청남도 아산시 배방면 휴대리 휴대교,127.113611,36.780833
608,3101672,환경부,아산시(덕지리),Asan-si(Deokgi-ri),삽교천,율지천,충청남도 아산시 음봉면 덕지리 524,127.083889,36.830833
